5.69859	4.58205e+06
5.71475	4.75959e+06
5.7309	4.944e+06
5.74706	5.13556e+06
5.76322	5.33454e+06
5.77937	5.54122e+06
5.79553	5.75592e+06
5.81168	5.97894e+06
5.82784	6.21059e+06
5.844	6.45123e+06
5.86015	6.70118e+06
5.87631	6.96082e+06
5.89247	7.23052e+06
5.90862	7.51067e+06
5.92478	7.80168e+06
5.94093	8.10396e+06
5.95709	8.41795e+06
5.97325	8.74411e+06
5.9894	9.0829e+06
6.00556	9.43482e+06
6.02171	9.80038e+06
6.03787	1.01801e+07
6.05403	1.05745e+07
6.07018	1.09842e+07
6.08634	1.14098e+07
6.1025	1.18519e+07
6.11865	1.23111e+07
6.13481	1.27881e+07
6.15096	1.32836e+07
6.16712	1.37983e+07
6.18328	1.43329e+07
6.19943	1.48882e+07
6.21559	1.54651e+07
6.23174	1.60643e+07
6.2479	1.66867e+07
6.26406	1.73333e+07
6.28021	1.80048e+07
6.29637	1.87024e+07
6.31252	1.94271e+07
6.32868	2.01798e+07
6.34484	2.09617e+07
6.36099	2.17738e+07
6.37715	2.26175e+07
6.39331	2.34938e+07
6.40946	2.44041e+07
6.42562	2.53496e+07
6.44177	2.63318e+07
6.45793	2.73521e+07
6.47409	2.84118e+07
6.49024	2.95127e+07
6.5064	3.06562e+07
6.52255	3.18439e+07
6.53871	3.30778e+07
6.55487	3.43594e+07
6.57102	3.56906e+07
6.58718	3.70735e+07
6.60334	3.85099e+07
6.61949	4.0002e+07
6.63565	4.15519e+07
6.6518	4.31619e+07
6.66796	4.48342e+07
6.68412	4.65713e+07
6.70027	4.83758e+07
6.71643	5.02501e+07
6.73258	5.21971e+07
6.74874	5.42195e+07
