# nld from continuum bins (incl fluctuations)
# E[MeV]	NLD[/MeV]
6.35453	2.14429e+07
6.37143	2.23217e+07
6.38834	2.31477e+07
6.40524	2.40914e+07
6.42215	2.50891e+07
6.43906	2.61112e+07
6.45596	2.72226e+07
6.47287	2.83139e+07
6.48978	2.9478e+07
6.50668	3.06931e+07
6.52359	3.1824e+07
6.54049	3.31311e+07
6.5574	3.44892e+07
6.57431	3.58562e+07
6.59121	3.74434e+07
6.60812	3.88248e+07
