# #E, E1, M1
1.400000000000000133e+00 1.659579634206962652e-08 1.351828136657391704e-08
1.439999999999999947e+00 1.678742855895431632e-08 1.430358190333407484e-08
1.479999999999999982e+00 1.698688248411389619e-08 1.515786234809115246e-08
1.520000000000000018e+00 1.719441808996179690e-08 1.609423937654837607e-08
1.560000000000000053e+00 1.741029909345449941e-08 1.712966683539421289e-08
1.600000000000000089e+00 1.763479309036258880e-08 1.828644886904806111e-08
1.640000000000000124e+00 1.786817169244627108e-08 1.959447256835455633e-08
1.679999999999999938e+00 1.811071066764767049e-08 2.109452882956231010e-08
1.719999999999999973e+00 1.836269008341543159e-08 2.284324414638173238e-08
1.760000000000000009e+00 1.862439445328034293e-08 2.492024464368709343e-08
1.800000000000000044e+00 1.889611288680421651e-08 2.743784552977762124e-08
1.840000000000000080e+00 1.917813924302766513e-08 3.055148968451268978e-08
1.880000000000000115e+00 1.947077228754616854e-08 3.446125181839904871e-08
1.919999999999999929e+00 1.977431585334757133e-08 3.937051079704061101e-08
1.959999999999999964e+00 2.008907900554824526e-08 4.531355246060323628e-08
2.000000000000000000e+00 2.041537621016905270e-08 5.173115676470995927e-08
2.040000000000000036e+00 2.075352750709673487e-08 5.701111543926383557e-08
2.080000000000000071e+00 2.110385868738064627e-08 5.916421658625580433e-08
2.120000000000000107e+00 2.146670147501936261e-08 5.793268554884235895e-08
2.160000000000000142e+00 2.184239371339653023e-08 5.512915120783639024e-08
2.200000000000000178e+00 2.223127955653016870e-08 5.256914083816247153e-08
2.240000000000000213e+00 2.263370966530489304e-08 5.100157121743040743e-08
2.280000000000000249e+00 2.305004140886165661e-08 5.045215531406703244e-08
2.319999999999999840e+00 2.348063907132531031e-08 5.069540110178210319e-08
2.359999999999999876e+00 2.392587406405590529e-08 5.146966124437884355e-08
2.399999999999999911e+00 2.438612514361540990e-08 5.253729951265521856e-08
2.439999999999999947e+00 2.486177863564804013e-08 5.369350259418240021e-08
2.479999999999999982e+00 2.535322866487826578e-08 5.476696903327966976e-08
2.520000000000000018e+00 2.586087739143743630e-08 5.562424005340285254e-08
2.560000000000000053e+00 2.638513525373663816e-08 5.617701087697976791e-08
2.600000000000000089e+00 2.692642121811050505e-08 5.638756089854581887e-08
2.640000000000000124e+00 2.748516303546379377e-08 5.626769069395573535e-08
2.680000000000000160e+00 2.806179750516027697e-08 5.586961865066277189e-08
2.720000000000000195e+00 2.865677074640113104e-08 5.527104455777499405e-08
2.760000000000000231e+00 2.927053847734813338e-08 5.455879028393259566e-08
2.800000000000000266e+00 2.990356630225507966e-08 5.381516428975591098e-08
2.839999999999999858e+00 3.055633000687979856e-08 5.310926041822579281e-08
2.879999999999999893e+00 3.122931586245761483e-08 5.249327337322155307e-08
2.919999999999999929e+00 3.192302093852639604e-08 5.200259001567727707e-08
2.959999999999999964e+00 3.263795342490301932e-08 5.165805632256181591e-08
3.000000000000000000e+00 3.337463296312030282e-08 5.146908163906151534e-08
3.040000000000000036e+00 3.413359098764413033e-08 5.143671668750288248e-08
3.080000000000000071e+00 3.491537107720038386e-08 5.155627318691280127e-08
3.120000000000000107e+00 3.572052931655224459e-08 5.181934815161245953e-08
3.160000000000000142e+00 3.654963466907935416e-08 5.221527912277341649e-08
3.200000000000000178e+00 3.740326936052171074e-08 5.273212646879009921e-08
3.240000000000000213e+00 3.828202927426286686e-08 5.335729474665280680e-08
3.280000000000000249e+00 3.918652435853898731e-08 5.407789515597368504e-08
3.320000000000000284e+00 4.011737904597261350e-08 5.488093207157582430e-08
3.359999999999999876e+00 4.107523268584300426e-08 5.575337695975880877e-08
3.399999999999999911e+00 4.206073998951749586e-08 5.668217614305258945e-08
3.439999999999999947e+00 4.307457148948220757e-08 5.765422575331067423e-08
3.479999999999999982e+00 4.411741401242377324e-08 5.865633750782644480e-08
3.520000000000000018e+00 4.518997116682817188e-08 5.967521195332905180e-08
3.560000000000000053e+00 4.629296384557715682e-08 6.069743079528593326e-08
3.600000000000000089e+00 4.742713074403713581e-08 6.170947620972164510e-08
3.640000000000000124e+00 4.859322889415109748e-08 6.269778210805350492e-08
3.680000000000000160e+00 4.979203421505930721e-08 6.364881982095912405e-08
3.720000000000000195e+00 5.102434208079001970e-08 6.454921834306928240e-08
3.760000000000000231e+00 5.229096790557799275e-08 6.538591700820166518e-08
3.800000000000000266e+00 5.359274774738456114e-08 6.614634621575637787e-08
3.839999999999999858e+00 5.493053893020987766e-08 6.681862965727913269e-08
3.879999999999999893e+00 5.630522068580451807e-08 6.739179951825183897e-08
3.919999999999999929e+00 5.771769481540497802e-08 6.785601451719629937e-08
3.959999999999999964e+00 5.916888637213483502e-08 6.820276957093023755e-08
4.000000000000000000e+00 6.065974436473067946e-08 6.842508550409394653e-08
4.000000000000000000e+00 6.065974436473067946e-08 6.842508550409394653e-08
4.107382550335570315e+00 6.486582962663972079e-08 6.837146913930182539e-08
4.214765100671140630e+00 6.938466647557157327e-08 6.735280749212586014e-08
4.322147651006710944e+00 7.423745571963745929e-08 6.542634813477043097e-08
4.429530201342282147e+00 7.944695090860172135e-08 6.272766421355099830e-08
4.536912751677852462e+00 8.503758874912047602e-08 5.944162630200803271e-08
4.644295302013422777e+00 9.103563067029118803e-08 5.576952579482103557e-08
4.751677852348993092e+00 9.746931641371314487e-08 5.190117050165979325e-08
4.859060402684563407e+00 1.043690305513592649e-07 4.799680408116171760e-08
4.966442953020134610e+00 1.117674828511009543e-07 4.417931337710744441e-08
5.073825503355704925e+00 1.196999034083924476e-07 4.053437103182711080e-08
5.181208053691275239e+00 1.282042534365305184e-07 3.711529013166105261e-08
5.288590604026845554e+00 1.373214525482172078e-07 3.394980350655539791e-08
5.395973154362415869e+00 1.470956232565854353e-07 3.104691033331683946e-08
5.503355704697986184e+00 1.575743532600395801e-07 2.840281910855070482e-08
5.610738255033556499e+00 1.688089758340932236e-07 2.600564507323980962e-08
5.718120805369127702e+00 1.808548683120372083e-07 2.383888170209068205e-08
5.825503355704698016e+00 1.937717681662292648e-07 2.188383012695965223e-08
5.932885906040268331e+00 2.076241055675978009e-07 2.012121571875067860e-08
6.040268456375839534e+00 2.224813504587893256e-07 1.853220663594210252e-08
6.147651006711409849e+00 2.384183710725289501e-07 1.709901151615335685e-08
6.255033557046980164e+00 2.555157993958872203e-07 1.580519198567895579e-08
6.362416107382550479e+00 2.738603972445612844e-07 1.463578886016255822e-08
6.469798657718120793e+00 2.935454142754672032e-07 1.357733150810587324e-08
6.577181208053691108e+00 3.146709263212878773e-07 1.261777776653604390e-08
6.684563758389261423e+00 3.373441387512871527e-07 1.174641588101855413e-08
6.791946308724831738e+00 3.616796350078465356e-07 1.095374880648839415e-08
6.899328859060402053e+00 3.877995448859076355e-07 1.023137359618779164e-08
7.006711409395973256e+00 4.158336003577362338e-07 9.571863511656598534e-09
7.114093959731543571e+00 4.459190386539042105e-07 8.968657142668433374e-09
7.221476510067113885e+00 4.782003027822849721e-07 8.415956677340264079e-09
7.328859060402685088e+00 5.128284786578139973e-07 7.908636117504689930e-09
7.436241610738255403e+00 5.499603956043441768e-07 7.442159421512679842e-09
7.543624161073825718e+00 5.897573034467503414e-07 7.012508090912922209e-09
7.651006711409396033e+00 6.323830252999586297e-07 6.616117474330486755e-09
7.758389261744966348e+00 6.780014714686852983e-07 6.249820958366962218e-09
7.865771812080536662e+00 7.267733881700045917e-07 5.910801196823797125e-09
7.973154362416106977e+00 7.788522074273952772e-07 5.596547560463423763e-09
8.080536912751679068e+00 8.343788647782955812e-07 5.304819047078718605e-09
8.187919463087247607e+00 8.934754638470365840e-07 5.033611961504821028e-09
8.295302013422819698e+00 9.562376970382241637e-07 4.781131748593401444e-09
8.402684563758388236e+00 1.022725986376890272e-06 4.545768433903754767e-09
8.510067114093960328e+00 1.092955395273622597e-06 4.326075194088162637e-09
8.617449664429528866e+00 1.166884487790783767e-06 4.120749640266947636e-09
8.724832214765100957e+00 1.244403481849950473e-06 3.928617452605657434e-09
8.832214765100671272e+00 1.325322257171514001e-06 3.748618052868470485e-09
8.939597315436241587e+00 1.409359030025820361e-06 3.579792044272120778e-09
9.046979865771811902e+00 1.496130775749293706e-06 3.421270185005115711e-09
9.154362416107382217e+00 1.585146731871945963e-06 3.272263693867860280e-09
9.261744966442952531e+00 1.675806498337679608e-06 3.132055714199300827e-09
9.369127516778522846e+00 1.767404301163459619e-06 2.999993786126500782e-09
9.476510067114094937e+00 1.859140830786816743e-06 2.875483197705467431e-09
9.583892617449663476e+00 1.950143645285304842e-06 2.757981103165028317e-09
9.691275167785235567e+00 2.039496412911440300e-06 2.646991311620008436e-09
9.798657718120804105e+00 2.126276285383283390e-06 2.542059662635947034e-09
9.906040268456376197e+00 2.209597543828204325e-06 2.442769916209048508e-09
1.001342281879194651e+01 2.288658517565491029e-06 2.348740094335871169e-09
1.012080536912751683e+01 2.362787865527334319e-06 2.259619219612920356e-09
1.022818791946308714e+01 2.431485853927907403e-06 2.175084403421907286e-09
1.033557046979865746e+01 2.494456420054930399e-06 2.094838242387122266e-09
1.044295302013422777e+01 2.551626617272200122e-06 2.018606487079791255e-09
1.055033557046979809e+01 2.603151378552212895e-06 1.946135951510987265e-09
1.065771812080537018e+01 2.649403173517912753e-06 1.877192635903205604e-09
1.076510067114093872e+01 2.690947757446254499e-06 1.811560038648937440e-09
1.087248322147651081e+01 2.728508526043223263e-06 1.749037636327712256e-09
1.097986577181207934e+01 2.762922794624132142e-06 1.689439513225102761e-09
1.108724832214765144e+01 2.795093546259728487e-06 1.632593124032648885e-09
1.119463087248322175e+01 2.825939905332413565e-06 1.578338175353567174e-09
1.130201342281879207e+01 2.856348952099035715e-06 1.526525613334895052e-09
1.140939597315436238e+01 2.887130703975050491e-06 1.477016706227011635e-09
