bin    Ex    Popul.    J= 0.0    J= 1.0    J= 2.0    J= 3.0    J= 4.0    J= 5.0    J= 6.0    J= 7.0    J= 8.0    J= 9.0

  24   1.274 1.502E-02 3.174E-04 1.968E-03 2.772E-03 1.992E-03 8.455E-04 3.390E-04 1.102E-05 2.530E-06 1.075E-08 2.380E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  25   1.321 1.648E-02 3.463E-04 2.149E-03 3.034E-03 2.185E-03 9.313E-04 3.737E-04 1.237E-05 2.820E-06 1.241E-08 2.714E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  26   1.371 1.812E-02 3.787E-04 2.352E-03 3.327E-03 2.402E-03 1.028E-03 4.127E-04 1.391E-05 3.149E-06 1.436E-08 3.102E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  27   1.422 1.996E-02 4.150E-04 2.580E-03 3.657E-03 2.646E-03 1.137E-03 4.566E-04 1.568E-05 3.523E-06 1.663E-08 3.554E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  28   1.475 2.204E-02 4.558E-04 2.836E-03 4.028E-03 2.922E-03 1.259E-03 5.062E-04 1.770E-05 3.949E-06 1.930E-08 4.081E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  29   1.530 2.438E-02 5.017E-04 3.124E-03 4.447E-03 3.232E-03 1.399E-03 5.623E-04 2.003E-05 4.435E-06 2.243E-08 4.696E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  30   1.587 2.715E-02 5.557E-04 3.463E-03 4.940E-03 3.599E-03 1.563E-03 6.290E-04 2.277E-05 5.014E-06 2.611E-08 5.417E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  31   1.646 3.036E-02 6.186E-04 3.859E-03 5.514E-03 4.026E-03 1.755E-03 7.073E-04 2.597E-05 5.697E-06 3.043E-08 6.265E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  32   1.708 3.406E-02 6.907E-04 4.312E-03 6.174E-03 4.518E-03 1.976E-03 7.976E-04 2.969E-05 6.493E-06 3.553E-08 7.264E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  33   1.771 3.832E-02 7.736E-04 4.833E-03 6.933E-03 5.085E-03 2.232E-03 9.023E-04 3.403E-05 7.421E-06 4.155E-08 8.447E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  34   1.837 4.325E-02 8.692E-04 5.435E-03 7.810E-03 5.741E-03 2.529E-03 1.024E-03 3.910E-05 8.508E-06 4.867E-08 9.851E-10 0 0 0 0 0 0 0 0 0 0 0 0 0
  35   1.906 4.897E-02 9.798E-04 6.131E-03 8.827E-03 6.502E-03 2.874E-03 1.166E-03 4.504E-05 9.786E-06 5.709E-08 1.152E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  36   1.977 5.562E-02 1.108E-03 6.940E-03 1.001E-02 7.390E-03 3.277E-03 1.332E-03 5.201E-05 1.129E-05 6.707E-08 1.352E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  37   2.051 6.338E-02 1.258E-03 7.884E-03 1.139E-02 8.427E-03 3.749E-03 1.528E-03 6.021E-05 1.308E-05 7.891E-08 1.591E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
  38   2.127 7.249E-02 1.433E-03 8.989E-03 1.301E-02 9.644E-03 4.304E-03 1.758E-03 6.990E-05 1.520E-05 9.301E-08 1.879E-09 0 0 0 0 0 0 0 0 0 0 0 0 0
