# bin    Ex    Popul.    J= 0.0-   J= 0.0+   J= 1.0-   J= 1.0+   J= 2.0-   J= 2.0+   J= 3.0-   J= 3.0+   J= 4.0-   J= 4.0+   J= 5.0-   J= 5.0+   J= 6.0-   J= 6.0+   J= 7.0-   J= 7.0+   J= 8.0-   J= 8.0+   J= 9.0-   J= 9.0+
#
  10   0.878 6.415E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.415E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  11   0.900 2.183E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.183E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  12   0.938 1.846E-02 0.000E+00 0.000E+00 1.846E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  13   0.959 1.745E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.745E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  14   0.992 4.524E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.524E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  15   1.002 9.190E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.190E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  16   1.031 1.112E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.112E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  17   1.038 3.593E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.593E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  18   1.041 3.487E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  19   1.057 8.166E-03 1.436E-04 1.772E-04 8.851E-04 1.094E-03 1.298E-03 1.524E-03 8.701E-04 1.082E-03 3.789E-04 4.501E-04 6.541E-05 1.794E-04 1.196E-05 5.333E-06 3.274E-07 1.262E-06 2.593E-08 4.494E-09 1.466E-12 1.062E-10
  20   1.091 8.756E-03 1.536E-04 1.892E-04 9.479E-04 1.168E-03 1.391E-03 1.631E-03 9.355E-04 1.160E-03 4.086E-04 4.843E-04 7.144E-05 1.933E-04 1.296E-05 5.829E-06 3.632E-07 1.373E-06 2.842E-08 5.034E-09 1.657E-12 1.177E-10
  21   1.125 9.401E-03 1.646E-04 2.022E-04 1.017E-03 1.250E-03 1.494E-03 1.748E-03 1.007E-03 1.246E-03 4.412E-04 5.219E-04 7.813E-05 2.085E-04 1.406E-05 6.380E-06 4.035E-07 1.496E-06 3.119E-08 5.647E-09 1.874E-12 1.305E-10
  22   1.160 1.011E-02 1.766E-04 2.165E-04 1.092E-03 1.339E-03 1.606E-03 1.876E-03 1.086E-03 1.340E-03 4.770E-04 5.631E-04 8.557E-05 2.252E-04 1.528E-05 6.993E-06 4.488E-07 1.632E-06 3.426E-08 6.342E-09 2.122E-12 1.450E-10
  23   1.197 1.088E-02 1.898E-04 2.320E-04 1.174E-03 1.436E-03 1.729E-03 2.016E-03 1.172E-03 1.443E-03 5.164E-04 6.083E-04 9.385E-05 2.435E-04 1.662E-05 7.675E-06 4.999E-07 1.782E-06 3.768E-08 7.132E-09 2.406E-12 1.613E-10
  24   1.234 1.173E-02 2.043E-04 2.490E-04 1.264E-03 1.542E-03 1.865E-03 2.169E-03 1.268E-03 1.555E-03 5.598E-04 6.580E-04 1.031E-04 2.636E-04 1.809E-05 8.436E-06 5.576E-07 1.948E-06 4.150E-08 8.031E-09 2.731E-12 1.797E-10
  25   1.273 1.266E-02 2.201E-04 2.676E-04 1.364E-03 1.659E-03 2.013E-03 2.337E-03 1.372E-03 1.679E-03 6.078E-04 7.128E-04 1.134E-04 2.858E-04 1.973E-05 9.285E-06 6.227E-07 2.132E-06 4.576E-08 9.054E-09 3.103E-12 2.004E-10
  26   1.313 1.369E-02 2.376E-04 2.880E-04 1.473E-03 1.787E-03 2.177E-03 2.522E-03 1.488E-03 1.816E-03 6.608E-04 7.732E-04 1.249E-04 3.102E-04 2.154E-05 1.023E-05 6.964E-07 2.336E-06 5.052E-08 1.022E-08 3.531E-12 2.239E-10
  27   1.354 1.483E-02 2.568E-04 3.105E-04 1.593E-03 1.928E-03 2.358E-03 2.725E-03 1.616E-03 1.966E-03 7.195E-04 8.399E-04 1.378E-04 3.372E-04 2.355E-05 1.130E-05 7.799E-07 2.563E-06 5.585E-08 1.155E-08 4.022E-12 2.506E-10
  28   1.397 1.608E-02 2.780E-04 3.352E-04 1.726E-03 2.083E-03 2.557E-03 2.949E-03 1.758E-03 2.132E-03 7.846E-04 9.138E-04 1.522E-04 3.670E-04 2.579E-05 1.249E-05 8.745E-07 2.816E-06 6.182E-08 1.307E-08 4.586E-12 2.808E-10
  29   1.441 1.746E-02 3.014E-04 3.624E-04 1.873E-03 2.254E-03 2.778E-03 3.197E-03 1.914E-03 2.315E-03 8.569E-04 9.956E-04 1.684E-04 4.000E-04 2.827E-05 1.383E-05 9.819E-07 3.098E-06 6.853E-08 1.481E-08 5.236E-12 3.152E-10
  30   1.486 1.900E-02 3.273E-04 3.925E-04 2.035E-03 2.442E-03 3.022E-03 3.471E-03 2.088E-03 2.518E-03 9.373E-04 1.086E-03 1.866E-04 4.366E-04 3.104E-05 1.533E-05 1.104E-06 3.413E-06 7.608E-08 1.680E-08 5.984E-12 3.544E-10
  31   1.532 2.069E-02 3.560E-04 4.257E-04 2.216E-03 2.651E-03 3.294E-03 3.774E-03 2.282E-03 2.743E-03 1.027E-03 1.187E-03 2.071E-04 4.773E-04 3.413E-05 1.702E-05 1.243E-06 3.765E-06 8.457E-08 1.907E-08 6.845E-12 3.991E-10
  32   1.581 2.265E-02 3.890E-04 4.640E-04 2.423E-03 2.892E-03 3.605E-03 4.123E-03 2.504E-03 3.003E-03 1.130E-03 1.304E-03 2.304E-04 5.246E-04 3.772E-05 1.896E-05 1.401E-06 4.176E-06 9.443E-08 2.168E-08 7.837E-12 4.502E-10
  33   1.630 2.489E-02 4.266E-04 5.078E-04 2.658E-03 3.166E-03 3.961E-03 4.523E-03 2.758E-03 3.300E-03 1.247E-03 1.437E-03 2.569E-04 5.789E-04 4.184E-05 2.118E-05 1.582E-06 4.650E-06 1.058E-07 2.467E-08 8.983E-12 5.088E-10
  34   1.681 2.740E-02 4.687E-04 5.568E-04 2.923E-03 3.475E-03 4.360E-03 4.971E-03 3.043E-03 3.634E-03 1.380E-03 1.587E-03 2.870E-04 6.402E-04 4.650E-05 2.370E-05 1.789E-06 5.187E-06 1.188E-07 2.810E-08 1.031E-11 5.761E-10
  35   1.734 3.023E-02 5.160E-04 6.119E-04 3.220E-03 3.821E-03 4.809E-03 5.476E-03 3.365E-03 4.011E-03 1.530E-03 1.757E-03 3.210E-04 7.095E-04 5.179E-05 2.656E-05 2.026E-06 5.800E-06 1.336E-07 3.205E-08 1.183E-11 6.536E-10
  36   1.789 3.343E-02 5.693E-04 6.740E-04 3.555E-03 4.212E-03 5.316E-03 6.044E-03 3.728E-03 4.436E-03 1.699E-03 1.949E-03 3.597E-04 7.881E-04 5.781E-05 2.982E-05 2.297E-06 6.498E-06 1.506E-07 3.659E-08 1.360E-11 7.429E-10
  37   1.845 3.704E-02 6.295E-04 7.440E-04 3.934E-03 4.653E-03 5.888E-03 6.687E-03 4.139E-03 4.917E-03 1.891E-03 2.166E-03 4.038E-04 8.773E-04 6.467E-05 3.354E-05 2.607E-06 7.297E-06 1.702E-07 4.182E-08 1.565E-11 8.463E-10
