# bin    Ex    Popul.    J= 0.0-   J= 0.0+   J= 1.0-   J= 1.0+   J= 2.0-   J= 2.0+   J= 3.0-   J= 3.0+   J= 4.0-   J= 4.0+   J= 5.0-   J= 5.0+   J= 6.0-   J= 6.0+   J= 7.0-   J= 7.0+   J= 8.0-   J= 8.0+   J= 9.0-   J= 9.0+
#
  10   0.878 6.415E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.415E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  11   0.900 2.183E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.183E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  12   0.938 1.846E-02 0.000E+00 0.000E+00 1.846E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  13   0.959 1.745E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.745E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  14   0.992 4.524E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.524E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  15   1.002 9.190E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.190E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  16   1.031 1.112E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.112E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  17   1.038 3.593E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.593E-03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  18   1.041 3.487E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
  19   1.057 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
  20   1.091 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
  21   1.125 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
  22   1.160 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
  23   1.197 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
24 1.2500515 10.0 0.0171000763037 0.160532879865 0.0953651561916 0.982973836993 0.110999968894 1.95150207522 0.100297043438 2.35014979195 0.0864455515547 2.30968951314 0.0598607689523 1.59528699213 0.053196570063 0.0242593642596 0.0443129719036 0.0167970217842 0.0273309168319 0.00683422947788 0.00336960619215 0.00369566485011
25 1.3500515 10.0 0.0178521919719 0.191334210557 0.0997158291903 1.20998234484 0.116064752378 2.49418396009 0.10473372639 2.58016033267 0.0901641213449 1.67977734419 0.0620040863306 1.16439719422 0.0561500396271 0.0244853779856 0.0483616470625 0.0169340278042 0.0297483189994 0.00687722964866 0.00335259944478 0.00372066525495
26 1.4500515 10.0 0.0170037784174 0.209228187886 0.0945884557537 1.38177978282 0.109850949645 2.97748852162 0.0996392810585 2.80538439981 0.0857120053417 1.16521639636 0.0588756202764 0.810933506535 0.0545119072456 0.0225856905018 0.0487869717912 0.0156125510908 0.029931890871 0.00636203955726 0.00306450073942 0.00344356267814
27 1.5500515 10.0 0.0149010474039 0.213424324502 0.0826253527235 1.49253807473 0.095780160194 3.38816353367 0.0872299854 3.01801067467 0.0749823025684 0.774248381728 0.0514190649795 0.541023336606 0.0488467115382 0.0191686337703 0.0455862635526 0.013241819426 0.0278988332997 0.00540874316131 0.00257335357878 0.0029294024999
28 1.6500515 10.0 0.0119952655005 0.204392563415 0.0665690230319 1.54582908497 0.0771521395507 3.73461300167 0.0702314094137 3.21842854421 0.0603243642204 0.488953584603 0.0411623426271 0.342990185465 0.040293250938 0.0149315752812 0.0393471511244 0.0103050871867 0.0240255346939 0.00420344346329 0.00197520838448 0.00227724024885
29 1.7500515 10.0 0.00887466382485 0.182614659577 0.0491396756477 1.54631866464 0.0568712539698 4.02555511152 0.0519228838317 3.40440064917 0.0445743341602 0.289604662429 0.0303602709483 0.203988258322 0.0307873028903 0.0106998003451 0.0316053640812 0.00737855191568 0.0192564403817 0.00301422546406 0.00139910465303 0.00163412223234
30 1.8500515 10.0 0.00583727376814 0.149238999309 0.0323495171924 1.50013235621 0.0374357557369 4.27277839331 0.0341616021791 3.57932687043 0.0293113747035 0.156148323356 0.0198809324157 0.110413178378 0.0210219859311 0.00681231949778 0.0227780682914 0.00469322011202 0.0138506495955 0.00191408977081 0.000877041133229 0.00103804868448
31 1.9500515 10.0 0.00326208253069 0.106534695328 0.0180844575368 1.41584482087 0.0209205292894 4.48095536817 0.0190944830904 3.74018362665 0.0163764143233 0.0727438404192 0.0110712801034 0.0516373064239 0.0123003111979 0.00368609325816 0.0141283574474 0.00253706418772 0.00857621697829 0.00103402616086 0.0004680118407 0.000561014193659
32 2.0500515 10.0 0.00137501402514 0.0596566084974 0.00762207774519 1.3087553493 0.00881308989352 4.64898641966 0.00805108212104 3.88121858843 0.00690307041132 0.0258682638563 0.00465504748148 0.0184351880389 0.00549105600877 0.00150501535116 0.0067180685243 0.00103501055711 0.00407204153482 0.000422004304444 0.00018800191762 0.000229002335824
33 2.1500515 10.0 0.000431001293004 0.0261350784052 0.00239100717302 1.22428567286 0.00276400829202 4.74606923821 0.00252400757202 3.97313991942 0.00216400649202 0.00693802081406 0.00145500436501 0.00496301488904 0.00184400553202 0.000457001371004 0.00241200723602 0.000314000942003 0.00146000438001 0.000128000384001 5.60001680005e-05 6.90002070006e-05
34 2.2500515 10.0 0.000599002336109 0.0545162126132 0.00332201295585 1.28662301783 0.00384101497996 4.68145125766 0.00350701367735 3.93636835184 0.00300601172345 0.00832003244813 0.00201600786243 0.00597302329479 0.00279201088884 0.000614002394609 0.00392101529196 0.000422001645806 0.00237000924304 0.000171000666903 7.40002886011e-05 9.30003627014e-05
35 2.3500515 10.0 0.00179702048603 0.272980111973 0.0099881138645 1.82409779471 0.0115531317057 4.21603106275 0.010534120089 3.56453663572 0.00903010294317 0.021808248614 0.00603806883398 0.015710179096 0.00931710621501 0.00178302032643 0.0140861605822 0.00122301394236 0.00850809699231 0.000496005654464 0.000212002416828 0.000270003078035
36 2.4500515 10.0 0.00300305405497 0.888643995592 0.0167283011094 3.37399573192 0.0193623485223 2.98775477959 0.0176273172917 2.54170975078 0.0151132720389 0.0320945777024 0.0100751813533 0.0231964175355 0.0177783200098 0.00288405191293 0.0289855217394 0.00197703558664 0.0174973149517 0.000800014400259 0.000337006066109 0.000436007848141
